[00:00:01,040 --> 00:00:07,839] Ser we start
[00:08:35,200 --> 00:08:40,680] we find a very good optimization hyper
[00:08:37,599 --> 00:08:43,760] parameters comform is working very well
[00:08:40,680 --> 00:08:46,160] so we want to kind of avoid this issue
[00:08:43,760 --> 00:08:48,200] and then I came up with this kind of the
[00:08:46,160 --> 00:08:50,839] branch architecture and it actually
[00:08:48,200 --> 00:08:53,959] turns out to be quite kind of powerful
[00:08:50,839 --> 00:08:57,560] and also the training optimization is
[00:08:53,959 --> 00:09:00,360] very stable so this Branch for decently
[00:08:57,560 --> 00:09:03,760] also the extended to deal with the
[00:09:00,360 --> 00:09:06,200] fusion part here e Branch for is
[00:09:03,760 --> 00:09:08,200] actually getting quite good performance
[00:09:06,200 --> 00:09:10,720] and many actually systems are us
[00:09:08,200 --> 00:09:13,399] starting to using this the the E Branch
[00:09:10,720 --> 00:09:16,640] for by the way this Branch for is the
[00:09:13,399 --> 00:09:18,760] proposed by the Ean there the sit one of
[00:09:16,640 --> 00:09:22,079] the TA
[00:09:18,760 --> 00:09:24,040] yeah okay so with this kind of Branch
[00:09:22,079 --> 00:09:27,000] for we actually could get their
[00:09:24,040 --> 00:09:29,600] reasonable performance so we have shown
[00:09:27,000 --> 00:09:32,880] some kind of competition uh with the the
[00:09:29,600 --> 00:09:35,440] giant the companies right and then uh
[00:09:32,880 --> 00:09:38,560] this is actually the wi the branch forer
[00:09:35,440 --> 00:09:41,040] so the from until the again you know
[00:09:38,560 --> 00:09:44,880] until the Google getting the spec
[00:09:41,040 --> 00:09:49,320] augment the this the LI speech bench
[00:09:44,880 --> 00:09:52,600] mark is around 8% after spec augment
[00:09:49,320 --> 00:09:54,560] that we are kind of in the phase of
[00:09:52,600 --> 00:09:58,160] fighting the this kind of a number in
[00:09:54,560 --> 00:09:59,839] the around 5% confir is actually quite a
[00:09:58,160 --> 00:10:04,200] big changes
[00:09:59,839 --> 00:10:06,600] but the Ean tra is actually the the
[00:10:04,200 --> 00:10:09,000] improve the performance this is one of
[00:10:06,600 --> 00:10:12,480] the first result that the the out
[00:10:09,000 --> 00:10:15,600] performs conform the based on the uh the
[00:10:12,480 --> 00:10:18,079] new architecture so it doesn't use any
[00:10:15,600 --> 00:10:20,640] external data and so same kind of a
[00:10:18,079 --> 00:10:22,680] comparison but the branch home is
[00:10:20,640 --> 00:10:25,079] actually reaching the best performance
[00:10:22,680 --> 00:10:28,040] currently Al now that we have several
[00:10:25,079 --> 00:10:30,360] other architecture that are proposed but
[00:10:28,040 --> 00:10:33,800] e Branch for is regarding as one of the
[00:10:30,360 --> 00:10:37,360] best performance architecture in speech
[00:10:33,800 --> 00:10:40,240] equation okay so uh the now that the I
[00:10:37,360 --> 00:10:43,839] will move to several kind of discussions
[00:10:40,240 --> 00:10:48,480] uh that given uh today's uh uh today and
[00:10:43,839 --> 00:10:51,880] the Monday's sectes so first uh
[00:10:48,480 --> 00:10:55,480] Transformer versus uh the uh
[00:10:51,880 --> 00:10:57,600] lsdm we already have our uh the we
[00:10:55,480 --> 00:11:00,160] already have our uh the the good kind of
[00:10:57,600 --> 00:11:04,040] improvement in the blsd
[00:11:00,160 --> 00:11:05,639] uh the Transformer from BM but I
[00:11:04,040 --> 00:11:09,079] actually
[00:11:05,639 --> 00:11:12,720] observed the this change I actually
[00:11:09,079 --> 00:11:14,519] experienced this change I'm sure several
[00:11:12,720 --> 00:11:17,200] most of the people here already you know
[00:11:14,519 --> 00:11:19,639] after the transform error right but I am
[00:11:17,200 --> 00:11:23,480] actually experienced the bsdm error and
[00:11:19,639 --> 00:11:26,480] then a Transformer so the I can actually
[00:11:23,480 --> 00:11:27,880] mention some of my personal real
[00:11:26,480 --> 00:11:31,920] experience about
[00:11:27,880 --> 00:11:34,880] it actually my experience are that if we
[00:11:31,920 --> 00:11:36,800] do similar effort blsm is actually
[00:11:34,880 --> 00:11:40,079] getting similar performance to
[00:11:36,800 --> 00:11:45,279] Transformer this for speech equation
[00:11:40,079 --> 00:11:48,240] tasks however the the most difficult
[00:11:45,279 --> 00:11:50,320] part in B St is that
[00:11:48,240 --> 00:11:53,959] paralyzation and the one network
[00:11:50,320 --> 00:11:55,560] actually takes the the three times f it
[00:11:53,959 --> 00:11:58,959] depend on the number of parameters but
[00:11:55,560 --> 00:12:01,639] the disable uh amount of parameters and
[00:11:58,959 --> 00:12:04,920] the if we compare the B St and the uh
[00:12:01,639 --> 00:12:06,279] Transformer so it's actually takes the
[00:12:04,920 --> 00:12:08,680] the three times
[00:12:06,279 --> 00:12:11,320] faster this actually changing the many
[00:12:08,680 --> 00:12:12,959] things because we can wait we can
[00:12:11,320 --> 00:12:15,680] actually chune the hyper parameter
[00:12:12,959 --> 00:12:21,040] optimization hyper parameter uh and so
[00:12:15,680 --> 00:12:24,000] on uh this kind of a effort is the quite
[00:12:21,040 --> 00:12:26,920] kind of important also as I mentioned
[00:12:24,000 --> 00:12:29,760] the model averaging is very important
[00:12:26,920 --> 00:12:33,199] and the model averaging is what's not
[00:12:29,760 --> 00:12:36,519] very well working in the BM because of
[00:12:33,199 --> 00:12:38,160] the kind of lstm the parameter Dynamic
[00:12:36,519 --> 00:12:41,600] is very different and sometimes
[00:12:38,160 --> 00:12:43,320] averaging is a HHO but a Transformer is
[00:12:41,600 --> 00:12:46,160] mostly based on the feed for the neural
[00:12:43,320 --> 00:12:49,360] network and we can safely the taking the
[00:12:46,160 --> 00:12:52,000] model aaging so due to that uh we
[00:12:49,360 --> 00:12:54,839] actually get the quite the good the
[00:12:52,000 --> 00:12:56,959] performance uh based on the Transformer
[00:12:54,839 --> 00:12:59,880] that is actually my
[00:12:56,959 --> 00:13:01,839] experience um it can be an uh the the
[00:12:59,880 --> 00:13:03,760] nowadays you know obvious what people
[00:13:01,839 --> 00:13:08,320] may not care so much about
[00:13:03,760 --> 00:13:09,920] VM uh uh but the uh still VM is actually
[00:13:08,320 --> 00:13:12,199] quite powerful and the several
[00:13:09,920 --> 00:13:14,480] application we are using it but the
[00:13:12,199 --> 00:13:17,360] difference will be the
[00:13:14,480 --> 00:13:21,079] polarization and after the and before
[00:13:17,360 --> 00:13:24,199] the Transformer I also changed my mind
[00:13:21,079 --> 00:13:26,920] uh before that I was actually thinking
[00:13:24,199 --> 00:13:30,440] that we do not try to tune the
[00:13:26,920 --> 00:13:33,480] parameters op optimizers as much as POS
[00:13:30,440 --> 00:13:34,959] possible because it is painful right
[00:13:33,480 --> 00:13:37,839] instead you know try to kind of more
[00:13:34,959 --> 00:13:40,800] focusing on the architecture and so on
[00:13:37,839 --> 00:13:42,720] but after the Transformer we always have
[00:13:40,800 --> 00:13:45,000] to chune the hyper parameter
[00:13:42,720 --> 00:13:47,639] optimization hyper parameter so this
[00:13:45,000 --> 00:13:49,800] actually change of my mind and before
[00:13:47,639 --> 00:13:52,120] that I didn't usually kind of ask the
[00:13:49,800 --> 00:13:56,399] people why I didn't do by myself to
[00:13:52,120 --> 00:13:59,680] chune so much uh so uh this kind of the
[00:13:56,399 --> 00:14:01,079] uh the information uh that is changing
[00:13:59,680 --> 00:14:06,079] my
[00:14:01,079 --> 00:14:10,000] mind and then uh the so this is another
[00:14:06,079 --> 00:14:12,959] thing some again without tuning we are
[00:14:10,000 --> 00:14:15,120] not sure uh your kind of new
[00:14:12,959 --> 00:14:18,160] architecture is really kind of useful or
[00:14:15,120 --> 00:14:20,720] not so please do not give give up you
[00:14:18,160 --> 00:14:24,079] know with some kind of bad result uh
[00:14:20,720 --> 00:14:27,519] without the tuning the uh the uh
[00:14:24,079 --> 00:14:29,959] optimization hyper parameter it's it's
[00:14:27,519 --> 00:14:31,920] additional step but other
[00:14:29,959 --> 00:14:34,720] uh we couldn't really kind of utilize
[00:14:31,920 --> 00:14:38,240] our new models and so on so this is also
[00:14:34,720 --> 00:14:40,320] one kind of a the suggestion so but it
[00:14:38,240 --> 00:14:43,360] is difficult because which mean that we
[00:14:40,320 --> 00:14:45,720] need to have a the search of the
[00:14:43,360 --> 00:14:48,199] optimization hyper parameter and then I
[00:14:45,720 --> 00:14:50,680] find it the the branch for also
[00:14:48,199 --> 00:14:52,959] originally that we need to have several
[00:14:50,680 --> 00:14:55,600] tuning and then finally we get the kind
[00:14:52,959 --> 00:14:58,000] of better performance not perform yeah
[00:14:55,600 --> 00:15:01,040] that's the Ean can I mention many of the
[00:14:58,000 --> 00:15:01,040] kind of stories about
[00:15:01,240 --> 00:15:11,000] it okay so next uh the I didn't talk
[00:15:06,480 --> 00:15:12,959] about the uh language model at all
[00:15:11,000 --> 00:15:15,079] because I mentioned that you know
[00:15:12,959 --> 00:15:17,720] attention based Sr including the
[00:15:15,079 --> 00:15:21,199] language model effect
[00:15:17,720 --> 00:15:23,240] right however uh this is actually one
[00:15:21,199 --> 00:15:24,160] the interesting difference with the H
[00:15:23,240 --> 00:15:27,720] based
[00:15:24,160 --> 00:15:29,759] approaches which is at least this kind
[00:15:27,720 --> 00:15:32,720] of a pure
[00:15:29,759 --> 00:15:36,880] formulation we cannot train the
[00:15:32,720 --> 00:15:40,360] model uh only with the text data in the
[00:15:36,880 --> 00:15:42,880] hmm based approaches it that equation is
[00:15:40,360 --> 00:15:45,160] complicated but we can split the
[00:15:42,880 --> 00:15:47,399] language model part and acostic model
[00:15:45,160 --> 00:15:50,160] part right and please remember language
[00:15:47,399 --> 00:15:52,279] model part there's no observation which
[00:15:50,160 --> 00:15:56,040] means that we can train the model with
[00:15:52,279 --> 00:15:59,000] large amount of text Data p is more data
[00:15:56,040 --> 00:16:00,240] only text data and text and speech data
[00:15:59,000 --> 00:16:04,160] air
[00:16:00,240 --> 00:16:08,720] data of course T only data right which
[00:16:04,160 --> 00:16:11,880] has tons of data resources so uh
[00:16:08,720 --> 00:16:15,839] attention based ASL it actually doesn't
[00:16:11,880 --> 00:16:18,880] have a pure language model effect and
[00:16:15,839 --> 00:16:22,440] then if we try to incorporate it we have
[00:16:18,880 --> 00:16:26,720] to kind of a train the both pair data or
[00:16:22,440 --> 00:16:29,079] some kind of the uh the the adhoc ways
[00:16:26,720 --> 00:16:32,959] to uh the combine the language model
[00:16:29,079 --> 00:16:34,560] score which is uh we call Shadow Fusion
[00:16:32,959 --> 00:16:36,480] by the way the shadow here means that
[00:16:34,560 --> 00:16:39,120] there are some more kind of a tip
[00:16:36,480 --> 00:16:41,160] integration uh like kind of a combin the
[00:16:39,120 --> 00:16:43,720] language model inside the neural network
[00:16:41,160 --> 00:16:45,720] of the attention based as and then the
[00:16:43,720 --> 00:16:48,279] fine tune or something which is people
[00:16:45,720 --> 00:16:50,399] call Deep fusion and this one is Shadow
[00:16:48,279 --> 00:16:54,120] Fusion because there's such no such kind
[00:16:50,399 --> 00:16:58,440] of integration part but this uh approach
[00:16:54,120 --> 00:17:00,759] is very simple we just multiply them but
[00:16:58,440 --> 00:17:03,399] it's can have a kind of scaling issue
[00:17:00,759 --> 00:17:06,160] over the probability in this cases we
[00:17:03,399 --> 00:17:08,400] usually have a scaling parameter here
[00:17:06,160 --> 00:17:10,280] and then by controlling them we can
[00:17:08,400 --> 00:17:12,079] actually reduce the effect of the
[00:17:10,280 --> 00:17:15,000] language model or we can increase the
[00:17:12,079 --> 00:17:18,000] effect of the language model and so on
[00:17:15,000 --> 00:17:22,439] so this uh approach
[00:17:18,000 --> 00:17:26,000] is quite widely used however compared
[00:17:22,439 --> 00:17:28,319] with the the agent based approaches
[00:17:26,000 --> 00:17:30,919] there is no theoretical justification
[00:17:28,319 --> 00:17:35,120] this is just geometric mean and actually
[00:17:30,919 --> 00:17:38,880] you know the counting the the uh the W
[00:17:35,120 --> 00:17:42,360] twice this is usually cannot be obtained
[00:17:38,880 --> 00:17:44,880] from the our kind of map decision Theory
[00:17:42,360 --> 00:17:48,520] so this is actually ad hoc
[00:17:44,880 --> 00:17:51,120] approximation or uh the uh the we may
[00:17:48,520 --> 00:17:53,240] also uh the regard it again
[00:17:51,120 --> 00:17:55,760] geometrically mean or something like
[00:17:53,240 --> 00:17:59,600] that so it is not theoretically well
[00:17:55,760 --> 00:18:01,400] motivated but it's quite widely used
[00:17:59,600 --> 00:18:04,280] by the way uh this actually
[00:18:01,400 --> 00:18:06,840] approximation has an issue this means
[00:18:04,280 --> 00:18:07,760] that we actually have a language model
[00:18:06,840 --> 00:18:11,120] effect
[00:18:07,760 --> 00:18:13,440] twice and this is actually sometimes
[00:18:11,120 --> 00:18:16,480] harmful and then there are lot of kind
[00:18:13,440 --> 00:18:18,600] of studies to actually try to remove the
[00:18:16,480 --> 00:18:21,200] effect of the language model especially
[00:18:18,600 --> 00:18:22,840] in the attention side we don't want to
[00:18:21,200 --> 00:18:25,039] kind of double count the language model
[00:18:22,840 --> 00:18:27,080] effect so some people actually try to
[00:18:25,039 --> 00:18:29,640] kind of subtract the language model
[00:18:27,080 --> 00:18:31,520] effect in the encod decod part
[00:18:29,640 --> 00:18:34,120] and then try to kind of purely using the
[00:18:31,520 --> 00:18:36,120] shadow Fusion language model so this the
[00:18:34,120 --> 00:18:37,679] technique is called residual language
[00:18:36,120 --> 00:18:41,039] model and so on this is a little bit
[00:18:37,679 --> 00:18:44,159] Advanced to topic but this approach
[00:18:41,039 --> 00:18:47,000] comes from the fact that this actually
[00:18:44,159 --> 00:18:50,799] uh way is not theoretically
[00:18:47,000 --> 00:18:53,240] founded founded so we need some kind of
[00:18:50,799 --> 00:18:55,799] we this is based on some approximation
[00:18:53,240 --> 00:18:58,960] and we need some adjustment and so on
[00:18:55,799 --> 00:19:02,600] but this the resid the language model
[00:18:58,960 --> 00:19:04,799] subtraction is really important and many
[00:19:02,600 --> 00:19:08,600] of the kind of the speech
[00:19:04,799 --> 00:19:10,919] recognizer the uh product by Google is
[00:19:08,600 --> 00:19:13,559] actually based on this approaches so
[00:19:10,919 --> 00:19:16,000] this means that this sh Fusion is
[00:19:13,559 --> 00:19:16,000] something
[00:19:16,520 --> 00:19:24,760] wrong okay uh and then last part and
[00:19:22,159 --> 00:19:27,840] this is actually also very important
[00:19:24,760 --> 00:19:31,039] concept so I want to explain this is not
[00:19:27,840 --> 00:19:33,159] only for the uh the the attention even
[00:19:31,039 --> 00:19:37,720] AR trans this problem
[00:19:33,159 --> 00:19:42,159] happens it's that the teacher
[00:19:37,720 --> 00:19:43,320] foring so uh remember that the we
[00:19:42,159 --> 00:19:47,559] actually using this kind of
[00:19:43,320 --> 00:19:49,480] factorization form right and then we can
[00:19:47,559 --> 00:19:51,200] train the model based on this
[00:19:49,480 --> 00:19:55,720] factorization
[00:19:51,200 --> 00:19:58,720] form and then we have a history here
[00:19:55,720 --> 00:19:58,720] right
[00:19:59,159 --> 00:20:05,679] during training we know the history we
[00:20:02,880 --> 00:20:08,000] know the kind of entire history right so
[00:20:05,679 --> 00:20:12,159] we can just use
[00:20:08,000 --> 00:20:16,360] them however during inference during
[00:20:12,159 --> 00:20:17,400] being such can we use the gr Tru history
[00:20:16,360 --> 00:20:20,039] of course
[00:20:17,400 --> 00:20:22,600] not we don't because we don't know that
[00:20:20,039 --> 00:20:27,120] the what is gr right so that's why we
[00:20:22,600 --> 00:20:29,600] are doing a speech so so there is a big
[00:20:27,120 --> 00:20:33,159] mismatch during the training the
[00:20:29,600 --> 00:20:35,720] inference and so on and the many of
[00:20:33,159 --> 00:20:38,159] actually attention based encod decoda
[00:20:35,720 --> 00:20:40,360] theoretically there is not so many
[00:20:38,159 --> 00:20:42,679] approximation right there's no
[00:20:40,360 --> 00:20:46,159] conditional Independence assumption to
[00:20:42,679 --> 00:20:48,320] derive this one and to use the attention
[00:20:46,159 --> 00:20:51,720] uh instead of wholy kind of using the
[00:20:48,320 --> 00:20:54,400] observation the other condition uh we
[00:20:51,720 --> 00:20:56,559] may have some model level approximation
[00:20:54,400 --> 00:20:58,760] but we again we don't use any
[00:20:56,559 --> 00:21:01,080] conditional Independence assumption so
[00:20:58,760 --> 00:21:03,720] which is very good but I say that
[00:21:01,080 --> 00:21:05,919] mathematically one of the biggest
[00:21:03,720 --> 00:21:08,760] approximation the conducted in the
[00:21:05,919 --> 00:21:10,039] attention based deod is this teacher
[00:21:08,760 --> 00:21:12,840] foring
[00:21:10,039 --> 00:21:16,159] part by the way there are of course you
[00:21:12,840 --> 00:21:20,279] know okay if if that is approximation
[00:21:16,159 --> 00:21:22,640] why not we can repacing this part to be
[00:21:20,279 --> 00:21:25,799] the predicted
[00:21:22,640 --> 00:21:28,360] history this is actually fine this may
[00:21:25,799 --> 00:21:31,640] be probably sometimes better result than
[00:21:28,360 --> 00:21:33,559] the ground truth however this actually
[00:21:31,640 --> 00:21:36,600] uh making the training very
[00:21:33,559 --> 00:21:38,640] slow so if we have a kind of a correct
[00:21:36,600 --> 00:21:41,279] the answer in the history and then
[00:21:38,640 --> 00:21:43,840] problem becomes easier so that we can
[00:21:41,279 --> 00:21:46,080] actually train this model other quickly
[00:21:43,840 --> 00:21:48,799] this actually benefit of the the using
[00:21:46,080 --> 00:21:50,440] this approximation teacher foring so
[00:21:48,799 --> 00:21:52,960] some people actually using you know
[00:21:50,440 --> 00:21:55,760] until the some point using the teacher
[00:21:52,960 --> 00:21:57,799] foring and then later that using the the
[00:21:55,760 --> 00:21:59,360] predicted history and so on which might
[00:21:57,799 --> 00:22:01,440] be kind of improve the performance and
[00:21:59,360 --> 00:22:04,320] so on there are lot of techniques are
[00:22:01,440 --> 00:22:07,120] developed for this kind of areas and so
[00:22:04,320 --> 00:22:10,240] on but anyway teacher foring is not but
[00:22:07,120 --> 00:22:13,120] approximation especially this attention
[00:22:10,240 --> 00:22:14,720] training is very difficult so providing
[00:22:13,120 --> 00:22:19,240] the kind of ground truths of the history
[00:22:14,720 --> 00:22:19,240] at a guide is not a bad idea
