[00:00:00,420 --> 00:00:03,020] foreign
[00:01:30,119 --> 00:01:34,500] procedure of es net as Monday's tutorial
[00:01:32,880 --> 00:01:37,860] will be not going through that part
[00:01:34,500 --> 00:01:40,560] today and please start the collab early
[00:01:37,860 --> 00:01:42,720] and execute the like installation
[00:01:40,560 --> 00:01:44,100] procedures ahead of time and basically
[00:01:42,720 --> 00:01:45,900] you can start to do the clicks during
[00:01:44,100 --> 00:01:48,720] the first examination period which is
[00:01:45,900 --> 00:01:50,460] now and because like for the following
[00:01:48,720 --> 00:01:52,860] is we won't be going through that part
[00:01:50,460 --> 00:01:54,420] and that will be taking time so yeah it
[00:01:52,860 --> 00:01:57,000] will be better for you to start it early
[00:01:54,420 --> 00:01:59,159] and also today we'll be modified several
[00:01:57,000 --> 00:02:01,619] lines of source code which will be
[00:01:59,159 --> 00:02:04,020] potentially be lost when that case
[00:02:01,619 --> 00:02:05,460] disconnected from the collab therefore
[00:02:04,020 --> 00:02:08,039] like please try to save your
[00:02:05,460 --> 00:02:09,780] modification in a separate text file so
[00:02:08,039 --> 00:02:11,819] as to avoid losing them so basically we
[00:02:09,780 --> 00:02:13,680] will be having just a few lines Zone you
[00:02:11,819 --> 00:02:15,720] don't be worried like you have multiple
[00:02:13,680 --> 00:02:17,879] places to be added so that will be very
[00:02:15,720 --> 00:02:20,400] difficult to trace but I think basically
[00:02:17,879 --> 00:02:22,200] just a single text file will be fine but
[00:02:20,400 --> 00:02:24,780] we also recommend you going to rule like
[00:02:22,200 --> 00:02:26,459] with your own github.com only and Fork
[00:02:24,780 --> 00:02:28,800] it into your own space if you have the
[00:02:26,459 --> 00:02:30,360] experience in that but if you do not
[00:02:28,800 --> 00:02:32,160] have the experience that do not suggest
[00:02:30,360 --> 00:02:34,319] you to learn it now because we have the
[00:02:32,160 --> 00:02:37,080] other Focus for now so please just
[00:02:34,319 --> 00:02:39,959] follow in our procedure that is fine but
[00:02:37,080 --> 00:02:43,019] just simply in a separate text file
[00:02:39,959 --> 00:02:45,239] okay so in terms of yes United research
[00:02:43,019 --> 00:02:47,580] I can't listed some of the speech
[00:02:45,239 --> 00:02:49,379] processing texts there's like even more
[00:02:47,580 --> 00:02:52,200] than that but I think this is almost
[00:02:49,379 --> 00:02:54,060] like a most major Focus right now like
[00:02:52,200 --> 00:02:55,800] in the switch field and basically
[00:02:54,060 --> 00:02:57,900] including like the street recognition I
[00:02:55,800 --> 00:02:59,640] recognize your voice and like going to
[00:02:57,900 --> 00:03:01,980] the three sentences that try to like
[00:02:59,640 --> 00:03:03,599] convert the text into speech and doing
[00:03:01,980 --> 00:03:05,760] the voice conversion they're trying to
[00:03:03,599 --> 00:03:07,920] convert your voice into another
[00:03:05,760 --> 00:03:10,019] personalities and the speaker
[00:03:07,920 --> 00:03:11,819] recognition Long Jacket recognition to
[00:03:10,019 --> 00:03:13,920] recognize the speaker and language there
[00:03:11,819 --> 00:03:16,319] and speech emotion recognition speaker
[00:03:13,920 --> 00:03:19,500] diarization and so on and so forth so
[00:03:16,319 --> 00:03:23,099] basically in terms of that all the right
[00:03:19,500 --> 00:03:25,319] all the like the uh funds with the right
[00:03:23,099 --> 00:03:27,360] funds so basically it's showing that we
[00:03:25,319 --> 00:03:30,060] have already supported in the es net
[00:03:27,360 --> 00:03:31,800] already in terms of that for example the
[00:03:30,060 --> 00:03:33,180] street recognition synthesis conversion
[00:03:31,800 --> 00:03:34,980] emotion recognition diarization
[00:03:33,180 --> 00:03:36,599] enhancement and so on so basically all
[00:03:34,980 --> 00:03:39,360] of these tests are already supported yes
[00:03:36,599 --> 00:03:41,040] then there are still some missing plugin
[00:03:39,360 --> 00:03:43,080] which is also that we are quite
[00:03:41,040 --> 00:03:44,940] encouraged that you guys to be involving
[00:03:43,080 --> 00:03:47,340] in that so if you are interested in some
[00:03:44,940 --> 00:03:48,659] of the projects that are trying to solve
[00:03:47,340 --> 00:03:50,940] in the for example speaker recognition
[00:03:48,659 --> 00:03:53,340] spoken dialogue system that will be very
[00:03:50,940 --> 00:03:55,620] glad that you can join our team and we
[00:03:53,340 --> 00:03:57,239] can continue to the discussion and
[00:03:55,620 --> 00:03:59,580] notice that today's talk actually
[00:03:57,239 --> 00:04:01,980] today's tutorial is actually one of the
[00:03:59,580 --> 00:04:04,680] basis to like formulate those kinds of
[00:04:01,980 --> 00:04:08,459] new tasks into the ESF
[00:04:04,680 --> 00:04:10,379] so why esnet can support so many like
[00:04:08,459 --> 00:04:12,840] different formats of the switch task and
[00:04:10,379 --> 00:04:14,939] so on so for that purpose like basically
[00:04:12,840 --> 00:04:17,579] we are having a uniform design and
[00:04:14,939 --> 00:04:19,560] uniform like uh software design so
[00:04:17,579 --> 00:04:21,900] basically all the things can be
[00:04:19,560 --> 00:04:24,180] converted into a unified mathematical
[00:04:21,900 --> 00:04:26,280] form like which is from the sequence X
[00:04:24,180 --> 00:04:31,380] to sequence y from the transformation
[00:04:26,280 --> 00:04:33,419] app and in terms of that uh the escat is
[00:04:31,380 --> 00:04:35,580] a kind of acting as a two case in the
[00:04:33,419 --> 00:04:37,800] middle and in the X sequence we have the
[00:04:35,580 --> 00:04:40,560] speech texting speech and noise speech
[00:04:37,800 --> 00:04:41,940] well for the output sequence we have the
[00:04:40,560 --> 00:04:44,160] text speech and German text and clean
[00:04:41,940 --> 00:04:46,080] speech so when this input this speech
[00:04:44,160 --> 00:04:48,060] and output is text is clearly that uh
[00:04:46,080 --> 00:04:50,280] it's the ASR task like the speed
[00:04:48,060 --> 00:04:52,020] recognition test and if the input is
[00:04:50,280 --> 00:04:54,060] taxed and output speech we'll be having
[00:04:52,020 --> 00:04:56,100] the text to speech which is a synthesis
[00:04:54,060 --> 00:04:57,780] test and for the English speech and out
[00:04:56,100 --> 00:04:59,460] with German tax will be doing as a sleep
[00:04:57,780 --> 00:05:01,680] translation well for the other one like
[00:04:59,460 --> 00:05:03,900] knowing the speech and the clean speech
[00:05:01,680 --> 00:05:05,759] as the output will be getting into the
[00:05:03,900 --> 00:05:06,860] switch enhancement and separation and so
[00:05:05,759 --> 00:05:10,320] on
[00:05:06,860 --> 00:05:12,240] so in terms of that what component we
[00:05:10,320 --> 00:05:14,520] need for new testing yes then so in
[00:05:12,240 --> 00:05:16,860] short we kind of have two components
[00:05:14,520 --> 00:05:18,479] there like one is the task Library which
[00:05:16,860 --> 00:05:20,160] is the core procedure provided in the
[00:05:18,479 --> 00:05:22,380] task usually training and inference and
[00:05:20,160 --> 00:05:24,000] so on well for they will also have a
[00:05:22,380 --> 00:05:25,680] recipe session and we have the
[00:05:24,000 --> 00:05:27,539] recommended stage for the task usually
[00:05:25,680 --> 00:05:29,699] including data preparation formatting
[00:05:27,539 --> 00:05:31,800] purposes 3D inference and evaluation as
[00:05:29,699 --> 00:05:33,240] the major stages you have already had
[00:05:31,800 --> 00:05:35,639] the experience with the fourth tutorial
[00:05:33,240 --> 00:05:38,639] so I won't be going more details into
[00:05:35,639 --> 00:05:40,620] that but I think in general I could uh
[00:05:38,639 --> 00:05:43,759] it's kind of a recipe session will be
[00:05:40,620 --> 00:05:45,300] corresponding to a specific data set
[00:05:43,759 --> 00:05:47,699] then
[00:05:45,300 --> 00:05:50,100] in the letters fact we'll be continue to
[00:05:47,699 --> 00:05:53,280] discuss that uh
[00:05:50,100 --> 00:05:54,860] what in the text library and this is
[00:05:53,280 --> 00:05:57,300] also like what we will focus today
[00:05:54,860 --> 00:05:59,699] basically there will be four major
[00:05:57,300 --> 00:06:02,280] components that will be used primarily
[00:05:59,699 --> 00:06:04,800] like including the binary folder which
[00:06:02,280 --> 00:06:06,960] will be have the major entry of the
[00:06:04,800 --> 00:06:09,240] library set all the functions needs to
[00:06:06,960 --> 00:06:10,560] be using from here like in the ESL so
[00:06:09,240 --> 00:06:12,600] basically including the training
[00:06:10,560 --> 00:06:14,880] inference and sometimes with the collect
[00:06:12,600 --> 00:06:17,280] status and so on and in the other side
[00:06:14,880 --> 00:06:20,160] we also have the file IO which will be
[00:06:17,280 --> 00:06:22,919] uh presented as a input output stream
[00:06:20,160 --> 00:06:25,259] for different kinds of data like the
[00:06:22,919 --> 00:06:28,979] tags we have different kind of tags and
[00:06:25,259 --> 00:06:30,900] sounds and uh rttm is a rich format of
[00:06:28,979 --> 00:06:32,759] the switch input that will be noted the
[00:06:30,900 --> 00:06:34,259] speaker like the information and
[00:06:32,759 --> 00:06:37,979] something like that and there will be
[00:06:34,259 --> 00:06:40,080] also having some noisy to be encoded in
[00:06:37,979 --> 00:06:41,880] the rtdm and so on and for the other
[00:06:40,080 --> 00:06:43,800] side we also like intended to
[00:06:41,880 --> 00:06:46,979] incorporate the music structure like the
[00:06:43,800 --> 00:06:49,319] music XML and music Alexa mini style and
[00:06:46,979 --> 00:06:51,780] music something like that so this is
[00:06:49,319 --> 00:06:54,479] also our lucky in progress work
[00:06:51,780 --> 00:06:57,060] perfect other side like but the tasks
[00:06:54,479 --> 00:06:59,340] are like basically the major step here
[00:06:57,060 --> 00:07:02,100] is like to actually execute in the task
[00:06:59,340 --> 00:07:04,979] like the tuning of the host procedure so
[00:07:02,100 --> 00:07:08,580] the task is kind of uh like you usually
[00:07:04,979 --> 00:07:10,319] it's like a specific uh design for the
[00:07:08,580 --> 00:07:12,479] corresponding task for example if we had
[00:07:10,319 --> 00:07:14,840] ASR you can see that in the text folder
[00:07:12,479 --> 00:07:16,740] we have the asl.ty and we have the
[00:07:14,840 --> 00:07:19,080] sos.py which is for students over
[00:07:16,740 --> 00:07:21,419] synthesis we have the like the tds.py
[00:07:19,080 --> 00:07:23,460] which is the text-to-speech and for here
[00:07:21,419 --> 00:07:25,460] which which we will be focusing on as
[00:07:23,460 --> 00:07:28,259] with so we'll be having the as
[00:07:25,460 --> 00:07:32,340] facebook.py which is for the as we moved
[00:07:28,259 --> 00:07:35,160] up task here and later uh the cases that
[00:07:32,340 --> 00:07:38,460] also have the task name folder so for
[00:07:35,160 --> 00:07:40,800] example the ASR TDS STS iot IR which is
[00:07:38,460 --> 00:07:42,960] for that Edition and this is for the
[00:07:40,800 --> 00:07:44,639] task specific modules and their
[00:07:42,960 --> 00:07:47,639] corresponding loss calculations so
[00:07:44,639 --> 00:07:49,319] usually like we will be constructed the
[00:07:47,639 --> 00:07:51,479] computational graph from this test
[00:07:49,319 --> 00:07:53,039] folder for example ASR where we have the
[00:07:51,479 --> 00:07:54,900] encoder people the architecture which we
[00:07:53,039 --> 00:07:57,419] have to discussed in the Mondays
[00:07:54,900 --> 00:07:59,699] tutorial and for the later case that
[00:07:57,419 --> 00:08:01,440] there's also like many other folders
[00:07:59,699 --> 00:08:04,020] that won't be attached today but they're
[00:08:01,440 --> 00:08:06,360] also important but normally like we can
[00:08:04,020 --> 00:08:08,819] just keep it there so basically we'll be
[00:08:06,360 --> 00:08:11,099] using them for churches for using them
[00:08:08,819 --> 00:08:13,860] today but if you want to learn more you
[00:08:11,099 --> 00:08:16,139] can always like refer to our either the
[00:08:13,860 --> 00:08:18,900] web page we have the whole web page for
[00:08:16,139 --> 00:08:20,699] the toolkits and also like you can go to
[00:08:18,900 --> 00:08:23,099] the source code and basically there will
[00:08:20,699 --> 00:08:25,919] be also like many different information
[00:08:23,099 --> 00:08:28,379] contents in that
[00:08:25,919 --> 00:08:31,319] cool
[00:08:28,379 --> 00:08:33,779] so in the later space we also like have
[00:08:31,319 --> 00:08:35,700] the recipe session uh firstly we will be
[00:08:33,779 --> 00:08:37,919] having the explicit recipe for specific
[00:08:35,700 --> 00:08:40,320] purpose and we are attached that on
[00:08:37,919 --> 00:08:42,180] Monday so I will be skipped for today
[00:08:40,320 --> 00:08:44,159] but if you do not need to so basically
[00:08:42,180 --> 00:08:45,600] you do not worry about this today so
[00:08:44,159 --> 00:08:47,880] because we'll be we'll be touching that
[00:08:45,600 --> 00:08:49,440] but uh KB and I are already having a
[00:08:47,880 --> 00:08:51,120] tutorial on Monday so I think it will be
[00:08:49,440 --> 00:08:52,860] already enough and for the second part
[00:08:51,120 --> 00:08:54,839] we'll be having a template that includes
[00:08:52,860 --> 00:08:57,300] all the recommended stage for the
[00:08:54,839 --> 00:08:59,580] corresponding tasks so for today we'll
[00:08:57,300 --> 00:09:02,100] be preparing like 99 of it but need some
[00:08:59,580 --> 00:09:03,899] of your input to like make it uh
[00:09:02,100 --> 00:09:05,940] functioning and so on
[00:09:03,899 --> 00:09:08,220] but in general that that will be taking
[00:09:05,940 --> 00:09:10,140] all the stages so if you remember like
[00:09:08,220 --> 00:09:12,420] in the Monday's tutorial will be you'll
[00:09:10,140 --> 00:09:14,459] be having like the case like the for
[00:09:12,420 --> 00:09:17,459] example the clock stats and the format
[00:09:14,459 --> 00:09:18,779] with sap and speed perturbation and so
[00:09:17,459 --> 00:09:21,839] on then this sound formula that's
[00:09:18,779 --> 00:09:23,880] recommended stage in ASR tests and for
[00:09:21,839 --> 00:09:26,820] our specific text we'll be having design
[00:09:23,880 --> 00:09:28,860] specific test stages but here like for
[00:09:26,820 --> 00:09:31,260] today's talk specifically we're already
[00:09:28,860 --> 00:09:34,080] designing the variable come to make it
[00:09:31,260 --> 00:09:35,459] the simplest template so that you do not
[00:09:34,080 --> 00:09:37,980] need to worry too much about that but
[00:09:35,459 --> 00:09:40,560] it's still like a 400 lens so it's not a
[00:09:37,980 --> 00:09:42,779] very simple one so in general but it's
[00:09:40,560 --> 00:09:45,360] kind of already the simplest to be the
[00:09:42,779 --> 00:09:47,700] recommended stage in ESPN
[00:09:45,360 --> 00:09:50,580] so okay so for here we'll be going
[00:09:47,700 --> 00:09:51,959] towards the uh Cemetery text we want to
[00:09:50,580 --> 00:09:54,300] handle in that basically the speaker
[00:09:51,959 --> 00:09:56,760] verification and text moving test can
[00:09:54,300 --> 00:09:58,440] this is a problem kind of this concerned
[00:09:56,760 --> 00:10:00,480] like the basically Eastern actor
[00:09:58,440 --> 00:10:03,420] spoofing attacks from the human natural
[00:10:00,480 --> 00:10:05,700] speech and so here like the basic
[00:10:03,420 --> 00:10:08,220] concept is here like we have a speech
[00:10:05,700 --> 00:10:10,620] and there is real or fake and if we want
[00:10:08,220 --> 00:10:12,899] to kind of decide whether it's real or
[00:10:10,620 --> 00:10:15,180] fake so basically this is kind of
[00:10:12,899 --> 00:10:16,740] becoming very important the reason that
[00:10:15,180 --> 00:10:19,140] is because like you know like we have
[00:10:16,740 --> 00:10:21,300] the Deep fake in the speech area as well
[00:10:19,140 --> 00:10:23,339] like we can do the voice conversion that
[00:10:21,300 --> 00:10:25,680] can be convert US into the other words
[00:10:23,339 --> 00:10:28,140] and given that some ways can be used in
[00:10:25,680 --> 00:10:30,420] as the evidence for the for the core 10
[00:10:28,140 --> 00:10:32,040] also like some specific scenarios so
[00:10:30,420 --> 00:10:34,380] actually that will be very important for
[00:10:32,040 --> 00:10:37,140] you to distinguish like whether this is
[00:10:34,380 --> 00:10:38,820] a fake cut out if it's fake that we need
[00:10:37,140 --> 00:10:41,160] to like doing some other procedure like
[00:10:38,820 --> 00:10:43,260] we need to have more confidence to get
[00:10:41,160 --> 00:10:45,899] other evidence and so so it's very
[00:10:43,260 --> 00:10:48,300] important for nowadays
[00:10:45,899 --> 00:10:50,579] and in terms of the evaluation period
[00:10:48,300 --> 00:10:52,920] like we'll be focusing on the equal
[00:10:50,579 --> 00:10:55,200] average specifically and I won't be
[00:10:52,920 --> 00:10:56,940] going two details into that so if you
[00:10:55,200 --> 00:10:59,459] want to like go into the specific okay
[00:10:56,940 --> 00:11:01,440] why how it is calculated so on so you
[00:10:59,459 --> 00:11:03,540] can refer to this link and there's also
[00:11:01,440 --> 00:11:05,880] plenty of the material on the internet
[00:11:03,540 --> 00:11:07,680] so you can just Trace them and but for
[00:11:05,880 --> 00:11:09,540] here like uh I just want to let you know
[00:11:07,680 --> 00:11:11,040] that basically the lower the uh the
[00:11:09,540 --> 00:11:13,500] better like error rates right so
[00:11:11,040 --> 00:11:17,820] basically the lower method
[00:11:13,500 --> 00:11:20,880] okay so now we have more time for the
[00:11:17,820 --> 00:11:23,700] collect and any questions
[00:11:20,880 --> 00:11:25,800] cool so if we do not have other
[00:11:23,700 --> 00:11:28,740] questions we'll be going through the
[00:11:25,800 --> 00:11:31,920] collab today but notice that for now for
[00:11:28,740 --> 00:11:35,279] today we won't be going to details into
[00:11:31,920 --> 00:11:37,500] the collab record uh you use now black
[00:11:35,279 --> 00:11:39,959] Mondays version like we will be having
[00:11:37,500 --> 00:11:42,600] go through all the interactive jobs at
[00:11:39,959 --> 00:11:44,820] the time for this time we'll be just
[00:11:42,600 --> 00:11:48,120] telling you what you want to do for here
[00:11:44,820 --> 00:11:51,839] and later you are supposed to be using
[00:11:48,120 --> 00:11:54,480] like um I think it's 40 or 5 for 15
[00:11:51,839 --> 00:11:57,000] minutes right to be solving this uh
[00:11:54,480 --> 00:11:59,760] specific uh things and to making running
[00:11:57,000 --> 00:12:01,740] but notice that we will make it very
[00:11:59,760 --> 00:12:03,899] kind of trying to make it as easy as
[00:12:01,740 --> 00:12:06,480] possible so all the steps here is
[00:12:03,899 --> 00:12:09,839] already like only like a specific device
[00:12:06,480 --> 00:12:11,640] you need to modify to reach the ultimate
[00:12:09,839 --> 00:12:14,399] goal here
[00:12:11,640 --> 00:12:16,079] so firstly elected we have the
[00:12:14,399 --> 00:12:19,560] introduction and we also would like to
[00:12:16,079 --> 00:12:21,959] would like to thank uh yujang which is
[00:12:19,560 --> 00:12:24,600] like a PhD student at uh University of
[00:12:21,959 --> 00:12:26,399] Rochester and he actually has uh has a
[00:12:24,600 --> 00:12:28,079] lot like over the Hands-On tutorial and
[00:12:26,399 --> 00:12:31,800] sharing his knowledge and the specific
[00:12:28,079 --> 00:12:34,200] text which is the anti-smoving today
[00:12:31,800 --> 00:12:37,440] cool
[00:12:34,200 --> 00:12:39,060] and for this time as well like we'll be
[00:12:37,440 --> 00:12:42,060] having the checkpoints that you will
[00:12:39,060 --> 00:12:45,000] need to submit uh before the class
[00:12:42,060 --> 00:12:46,860] ending and at the at the same time like
[00:12:45,000 --> 00:12:48,959] there will be several like exercises
[00:12:46,860 --> 00:12:50,579] which is after the tutorial and you can
[00:12:48,959 --> 00:12:52,380] finish it later
[00:12:50,579 --> 00:12:54,360] and basically you can just submit the
[00:12:52,380 --> 00:12:56,760] PDF file like with your calculated
[00:12:54,360 --> 00:12:58,860] notebook to the criscope and which is
[00:12:56,760 --> 00:13:00,720] exactly the same format as the manual
[00:12:58,860 --> 00:13:03,180] tutorial so it's nice to have worried
[00:13:00,720 --> 00:13:05,579] about that
[00:13:03,180 --> 00:13:07,800] and for the objectives today like
[00:13:05,579 --> 00:13:09,720] basically after this tutorial you're
[00:13:07,800 --> 00:13:12,480] expected to know like how to add new
[00:13:09,720 --> 00:13:15,660] tasks in esnet2 and how to add new
[00:13:12,480 --> 00:13:18,240] modules in es92 and how to create the
[00:13:15,660 --> 00:13:20,820] new recipes of the template of a new
[00:13:18,240 --> 00:13:22,560] test from scratch so basically this
[00:13:20,820 --> 00:13:25,800] score is actually a bit ambitious
[00:13:22,560 --> 00:13:27,180] because ESN is so complicated but as at
[00:13:25,800 --> 00:13:28,440] the same time like it's also very
[00:13:27,180 --> 00:13:31,139] comprehensive to have different
[00:13:28,440 --> 00:13:34,200] components is to be making it working
[00:13:31,139 --> 00:13:36,060] for different functionality but for here
[00:13:34,200 --> 00:13:37,680] we'll be trying to make it as simple as
[00:13:36,060 --> 00:13:40,079] possible and by the same time we already
[00:13:37,680 --> 00:13:41,700] can Implement most of the codes for you
[00:13:40,079 --> 00:13:43,560] so basically you just need to fill a few
[00:13:41,700 --> 00:13:45,060] lines of the code but if you want to
[00:13:43,560 --> 00:13:47,459] learn more like basically you can go
[00:13:45,060 --> 00:13:49,500] into the uh our like comparison there
[00:13:47,459 --> 00:13:51,720] like what we're showing later and you
[00:13:49,500 --> 00:13:53,579] can know like the whole structure of if
[00:13:51,720 --> 00:13:55,500] you want to add a new test how did you
[00:13:53,579 --> 00:13:57,660] want to like doing that
[00:13:55,500 --> 00:13:59,820] and for the star please
[00:13:57,660 --> 00:14:01,200] executing this print date and time that
[00:13:59,820 --> 00:14:03,480] because that will be using for your
[00:14:01,200 --> 00:14:05,579] grading purpose
[00:14:03,480 --> 00:14:07,740] and for the installation specifically
[00:14:05,579 --> 00:14:09,420] almost like it's the same procedure as
[00:14:07,740 --> 00:14:11,220] your first tutorial so I won't be going
[00:14:09,420 --> 00:14:14,100] too much details over here I will be
[00:14:11,220 --> 00:14:16,200] skipping this today but but you are
[00:14:14,100 --> 00:14:17,940] expected to already run it during my
[00:14:16,200 --> 00:14:21,120] first explanation session
[00:14:17,940 --> 00:14:22,980] and here like this is for today's main
[00:14:21,120 --> 00:14:25,079] purpose that we want to provide you and
[00:14:22,980 --> 00:14:27,000] what you need to proceed over that and
[00:14:25,079 --> 00:14:28,980] we have provided most of the files you
[00:14:27,000 --> 00:14:30,959] need for the Asus Booth task so you do
[00:14:28,980 --> 00:14:33,720] not need to add any additional files
[00:14:30,959 --> 00:14:35,880] essentially but however notice that some
[00:14:33,720 --> 00:14:38,639] of the files have not come like complete
[00:14:35,880 --> 00:14:42,000] so I need your condition to proceed
[00:14:38,639 --> 00:14:44,399] oh sorry there's a typo here and for a
[00:14:42,000 --> 00:14:46,019] quick overview of the whole layout of
[00:14:44,399 --> 00:14:48,060] the new test you can just click this
[00:14:46,019 --> 00:14:50,279] link and I will be clicking this link as
[00:14:48,060 --> 00:14:51,899] well at the same time so you can have an
[00:14:50,279 --> 00:14:54,540] overview
[00:14:51,899 --> 00:14:56,940] so if you check this one you'll be
[00:14:54,540 --> 00:14:58,860] seeing that okay this is I have 50
[00:14:56,940 --> 00:15:01,079] changed files and with two thousand
[00:14:58,860 --> 00:15:02,760] lines but don't be afraid of that so
[00:15:01,079 --> 00:15:05,820] basically most of them are can be
[00:15:02,760 --> 00:15:07,620] essentially the same as the uh as the
[00:15:05,820 --> 00:15:09,120] other tests so if you want to create a
[00:15:07,620 --> 00:15:12,000] new test most of the lines you can just
[00:15:09,120 --> 00:15:14,220] copy and paste and that will be fine and
[00:15:12,000 --> 00:15:16,620] in terms of the different scenarios then
[00:15:14,220 --> 00:15:18,620] it will become different cases but I
[00:15:16,620 --> 00:15:22,279] won't be going too much details for this
[00:15:18,620 --> 00:15:25,680] page today we'll be going back to here
[00:15:22,279 --> 00:15:27,660] and basically as elaborated in the woman
[00:15:25,680 --> 00:15:30,600] novel and showing that there are like
[00:15:27,660 --> 00:15:32,639] two basic components for new tasks in
[00:15:30,600 --> 00:15:35,100] the ehlan which is a test library and
[00:15:32,639 --> 00:15:36,480] corresponding recipe setups and for the
[00:15:35,100 --> 00:15:38,820] following section we'll be briefly
[00:15:36,480 --> 00:15:40,920] showed overall layout of adding the Asus
[00:15:38,820 --> 00:15:42,600] both task in the es net and basically
[00:15:40,920 --> 00:15:44,519] the listed file are most of the minimum
[00:15:42,600 --> 00:15:46,620] requirements that the new test noted so
[00:15:44,519 --> 00:15:48,240] basically if you are watching at the new
[00:15:46,620 --> 00:15:50,940] tank this is kind of the basic
[00:15:48,240 --> 00:15:53,459] limitation here so you need to add all
[00:15:50,940 --> 00:15:56,279] the files at least most of the files
[00:15:53,459 --> 00:15:58,500] here to be adding for new tasks so here
[00:15:56,279 --> 00:16:00,480] like we are showing it in two folds
[00:15:58,500 --> 00:16:02,339] firstly that has February which is
[00:16:00,480 --> 00:16:04,139] located in the esc2 which is the second
[00:16:02,339 --> 00:16:06,240] version and already come we already kind
[00:16:04,139 --> 00:16:09,540] of expand that so basically we recommend
[00:16:06,240 --> 00:16:11,699] you now to focus on the esn2 version
[00:16:09,540 --> 00:16:13,920] and basically there is like the binary
[00:16:11,699 --> 00:16:16,500] folder as I know that like it's kind of
[00:16:13,920 --> 00:16:18,899] the main entry point that we get for the
[00:16:16,500 --> 00:16:21,420] specific task and what we also have as
[00:16:18,899 --> 00:16:24,600] with spoof which is the specific uh like
[00:16:21,420 --> 00:16:26,880] uh example of how to show in the whole
[00:16:24,600 --> 00:16:29,220] model here like basically the we can see
[00:16:26,880 --> 00:16:31,380] the decoder and mouse and we also have
[00:16:29,220 --> 00:16:33,839] the escm model which is a basic base
[00:16:31,380 --> 00:16:35,279] here I know that if you uh check that
[00:16:33,839 --> 00:16:39,120] basically we have the checkpoint for
[00:16:35,279 --> 00:16:42,240] attack 2.3 like as a like bracket uh
[00:16:39,120 --> 00:16:44,040] basically bracket as the following by
[00:16:42,240 --> 00:16:46,380] the specific files because it's kind of
[00:16:44,040 --> 00:16:48,360] showing that okay if you want to pass
[00:16:46,380 --> 00:16:51,300] this specific checkpoint you need to
[00:16:48,360 --> 00:16:54,360] modify this file to be make it completed
[00:16:51,300 --> 00:16:56,940] so that will make your life easier to be
[00:16:54,360 --> 00:16:59,759] accomplished that and for the later
[00:16:56,940 --> 00:17:02,040] spaces like the task part will be having
[00:16:59,759 --> 00:17:04,260] the whole like task initialization and
[00:17:02,040 --> 00:17:05,280] also model build up and so on training
[00:17:04,260 --> 00:17:08,280] and so on
[00:17:05,280 --> 00:17:09,959] okay so to help you understand more we
[00:17:08,280 --> 00:17:11,939] will recommend you to check out the
[00:17:09,959 --> 00:17:14,280] layout of other tasks as well like the
[00:17:11,939 --> 00:17:16,679] ASR ttsst and so I'm going to understand
[00:17:14,280 --> 00:17:18,839] how the code base is functioning but
[00:17:16,679 --> 00:17:20,520] here is the most the simplest one I will
[00:17:18,839 --> 00:17:23,880] say
[00:17:20,520 --> 00:17:26,339] and later in the recipe for ASP spoof uh
[00:17:23,880 --> 00:17:28,919] which is another side of the uh like the
